criterion,name,summary,anchor_0,anchor_1,anchor_2,human_score,is_na,na_reason,human_justification,evidence_quote
C1,Completezza strutturale,"Presenza delle 9 sezioni obbligatorie del template UniCT (RA, PR, CN, MV, ED, TD, MS, MF, PRG).","Mancano 3 o più sezioni obbligatorie, o sono presenti ma vuote.",Tutte le sezioni presenti ma 1-2 hanno contenuto minimo o povero.,Tutte le sezioni presenti e compilate in modo sostanziale.,1,false,,Prerequisiti ha un contenuto minimo,
C2,Completezza bilingue,"Disponibilita della versione inglese per il perimetro minimo (titolo, RA, contenuti, modalita di verifica).",Versione inglese assente o gravemente parziale (manca >1 sezione del perimetro).,Versione inglese presente ma con lacune parziali su 1 sezione del perimetro.,Versione inglese completa sul perimetro minimo e coerente con l'IT.,2,false,,,
C3,Formulazione dei risultati di apprendimento,I risultati di apprendimento attesi sono formulati in modo specifico e centrato sullo studente.,"Risultati assenti, o solo descrizione del corso senza centratura sullo studente.",Risultati presenti ma generici o misti con la descrizione del corso.,"Risultati specifici, centrati sullo studente, articolati in conoscenze/abilita.",2,false,,,
C4,Descrittori di Dublino,"Presenza e qualita dei 5 descrittori di Dublino (conoscenza, applicazione, giudizio, comunicazione, apprendimento).","Mancano 2 o piu descrittori, o sono tutti ripetitivi/copiati l'uno dall'altro.",5 descrittori presenti ma con qualche genericita o ripetizione tra di essi.,"5 descrittori presenti, articolati e ben differenziati tra loro.",2,false,,,
C5,Chiarezza dei prerequisiti,"Prerequisiti specifici, formulati come conoscenze richieste, con distinzione esplicita tra culturali/generali e disciplinari/specialistici (rubrica a1_v5).","Prerequisiti assenti, generici, tautologici, o solo rimando a esami.",Prerequisiti specifici ma senza distinzione esplicita culturali/disciplinari.,Prerequisiti specifici E distinti esplicitamente culturali/disciplinari (o organizzazione equivalente).,1,false,,i prerequisiti sono stringati e fanno riferimento a specifici corsi,
C6,Coerenza didattica RA/contenuti,I contenuti del corso coprono i risultati di apprendimento dichiarati (mapping ricostruibile dai testi).,Contenuti scollegati dai risultati di apprendimento o assenti.,Coperture parziali o ambigue tra RA e contenuti.,"Contenuti coerenti con i RA, mapping ricostruibile dai testi.",2,false,,,
C7,Strutturazione contenuti,I contenuti sono organizzati in modo chiaro e ricostruibile da evidenze testuali concrete.,Contenuti elencati in modo disorganizzato o assenti.,"Elenco di topic ma senza struttura macro (moduli, blocchi).",Contenuti organizzati in macro-aree con descrizione introduttiva chiara.,1,false,,"Non c'è una struttura a blocchi, ma c'è da dire che le nostre istruzioni date ai docenti chiedevano di fare un ragionamento discorsivo, più che di suddividere a blocchi",
C8,Coerenza didattica RA/verifica,Le modalita di verifica permettono di valutare i risultati di apprendimento dichiarati.,Modalita di verifica assenti o non in grado di valutare i RA.,Modalita presenti ma con corrispondenza parziale ai RA.,"Modalita coerenti con i RA, articolate in prove/criteri di valutazione.",2,false,,,
C9,Cura editoriale,"Il syllabus e curato a livello editoriale: niente refusi, formattazione coerente, riferimenti strutturati.","Refusi diffusi, formattazione incoerente, riferimenti mancanti o caotici.","Cura discreta con qualche imperfezione (refusi sporadici, frammenti, riferimenti parziali).","Cura impeccabile: nessun refuso, formattazione coerente, riferimenti completi.",1,false,,"Qualche typo, ad esempio ""simulaizoni""",
